timestamp,day,Wind speed,Energy Export,Project availability,Project Lost Energy (MWh),Wind speed (met mast)
2021-12-01,1,5.211276455026454,309.506,0.9699113934959223,9.6015,
2021-12-02,2,9.06691618566619,1166.517,0.9660701165197974,40.9698894633643,
2021-12-03,3,12.701830808080812,1552.859,0.995750235598392,6.627449999999999,
2021-12-04,4,5.7316919191919204,445.284,0.999759904204449,0.10693649122807017,
2021-12-05,5,6.890183080808082,656.298,0.9997128146218384,0.1885333333333333,
2021-12-06,6,13.39292929292929,1497.628,0.9564234298987165,68.23493599958763,
2021-12-07,7,9.54327801827802,1132.691,0.9767283937797995,26.987583333333333,
2021-12-08,8,6.311674783549785,514.088,0.9933155320740109,3.4595298635477585,
2021-12-09,9,6.645075757575754,535.453,0.9909332597681499,4.899233333333332,
2021-12-10,10,5.327070256132755,295.377,0.9714383233358433,8.684506432748538,
2021-12-11,11,9.953345959595966,1146.712,0.9998554762455933,0.16575107843137254,
2021-12-12,12,12.800946969696973,1627.0,0.9996729541779942,0.5322776315789473,
2021-12-13,13,9.590056818181818,1217.759,0.9843224107637498,19.395601666666664,
2021-12-14,14,10.484448502886002,1345.228,0.9741570712375948,35.68688499999999,
2021-12-15,15,5.70915404040404,470.775,0.9986899745473953,0.6175362206169016,
2021-12-16,16,7.372957100769601,782.197,0.998438656098542,1.2231883333333333,
2021-12-17,17,11.37159090909091,1519.733,0.9868420913789808,20.263128333333334,
2021-12-18,18,6.001231060606062,494.609,0.9987546893632627,0.6167098440545808,
2021-12-19,19,7.379577020202017,688.499,0.9993673325480309,0.4358666666666667,
2021-12-20,20,6.410359547859546,584.332,0.9969630944804119,1.7799666666666667,
2021-12-21,21,7.606344696969698,823.826,0.9995984987809967,0.33089999999999997,
2021-12-22,22,11.020422979797978,1152.665,0.9865099460276294,15.762145252235511,
2021-12-23,23,12.321590909090911,1356.347,0.9775998314948035,31.07856647751405,
2021-12-24,24,9.246054292929296,1167.14,0.9998462003519973,0.17953333333333335,
2021-12-25,25,5.639236111111112,407.107,0.997037589968546,1.2096011953904369,
2021-12-26,26,6.588036616161618,568.375,0.9524152373479375,28.397266666666667,
2021-12-27,27,7.134059343434343,700.215,0.9557539717171064,32.4160125,
2021-12-28,28,6.37364267676768,526.168,0.9444388089653211,30.954383160474713,
2021-12-29,29,5.32370580808081,305.213,0.9988244743677523,0.35920796296296287,
2021-12-30,30,3.257942520442521,16.292,0.9869379290641501,0.21562375243664714,
2021-12-31,31,3.191761363636364,33.579,0.9890269213008834,0.37255306372549024,
